time,open,close,high,low,volume
1759275000,253.6600,253.5800,253.8000,253.5000,14543
1759273200,253.8000,253.6255,253.9000,253.3500,5539
1759271400,254.0700,253.7000,254.1830,253.3500,11660
1759269600,254.1373,254.0500,254.2000,253.9100,10736
1759267800,254.1400,254.1500,254.6300,254.0000,4944
1759266000,254.1800,254.1200,254.2000,236.8278,13583
1759264200,254.1800,254.1300,254.6300,241.0694,15719
1759262400,254.5500,254.1100,254.8800,205.1700,21201284
1759260600,253.9600,254.5600,255.1800,253.8100,4265963
1759258800,254.1950,253.9500,254.2400,253.5000,1510311
1759257000,253.3400,254.1900,254.2400,253.2710,1336194
1759255200,253.7200,253.3400,253.9499,253.1100,1399431
1759253400,253.7500,253.7250,253.9900,253.6000,1001970
1759251600,254.0650,253.7350,254.2500,253.3117,1514462
1759249800,254.5506,254.0799,254.6700,254.0350,982050
1759248000,254.6900,254.5351,254.9800,254.3800,991441
1759246200,254.2100,254.6900,254.8900,254.1601,1305025
1759244400,255.5000,254.2200,255.6750,253.8201,1954624
1759242600,254.9100,255.5000,255.5200,254.7700,1733886
1759240800,255.4800,254.8862,255.9190,254.5800,2536435
1759239000,254.8550,255.4900,255.6400,253.9600,4790350
1759237200,253.8000,254.8400,254.9500,253.5600,60703
1759235400,253.9400,253.7800,254.0000,253.7400,11244
1759233600,254.4300,253.9400,254.4300,253.1800,67701
1759231800,253.6500,253.8000,253.8500,253.6300,10591
1759230000,253.5600,253.6800,253.7100,253.5100,13973
1759228200,253.4600,253.5400,253.5800,253.4000,5014
1759226400,253.5600,253.4600,253.6800,253.4200,2488
1759224600,253.6500,253.5800,253.6600,253.4200,3734
1759222800,253.7100,253.5300,253.7200,253.4200,3788
1759221000,253.4200,253.7200,253.7300,253.4200,4465
1759219200,253.6600,253.4200,254.0000,253.2300,11930
1759188600,254.0501,253.9000,254.2900,253.9000,18922
1759186800,254.1300,254.0800,254.3300,253.8500,4895
1759185000,253.9200,254.1000,254.2200,253.8500,9906
1759183200,253.8500,253.9500,254.1900,253.8500,6312
1759181400,254.1900,253.8514,254.4300,253.7800,459573
1759179600,254.0890,254.0500,264.5014,242.5802,184848
1759177800,254.2600,254.1000,254.4794,211.1800,10230
1759176000,254.3500,254.2600,255.4600,254.2600,15964382
1759174200,253.9900,254.3500,255.0000,253.9400,3864304
1759172400,254.0550,253.9900,254.1300,253.6100,1614231
1759170600,254.5700,254.0600,254.6000,253.8950,1400633
1759168800,253.3550,254.5700,254.6150,253.3412,2023326
