time,open,close,high,low,volume
1759204800,254.8550,254.6300,255.9190,253.1100,37704259
1759118400,254.5600,254.4300,255.0000,253.0100,40127687
1758859200,254.0950,255.4600,257.6000,253.7800,46076258
1758772800,253.2050,256.8700,257.1700,251.7120,55202075
1758686400,255.2200,252.3100,255.7400,251.0400,42303710
1758600000,255.8750,254.4300,257.3400,253.5800,60275187
1758513600,248.3000,256.0800,256.6400,248.1200,105517416
1758254400,241.2250,245.5000,246.3000,240.2106,163741314
1758168000,239.9700,237.8800,241.2000,236.6500,44249576
1758081600,238.9700,238.9900,240.1000,237.7301,46508017
1757995200,237.1750,238.1500,241.2200,236.3235,63421099
1757908800,237.0000,236.7000,238.1900,235.0300,42699524
1757649600,229.2200,234.0700,234.5100,229.0200,55824216
1757563200,226.8750,230.0300,230.4500,226.6500,50208578
1757476800,232.1850,226.7900,232.4200,225.9500,83440810
1757390400,237.0000,234.3500,238.7805,233.3600,66313918
1757304000,239.3000,237.8800,240.1500,236.3400,48999495
1757044800,239.9950,239.6900,241.3200,238.4901,54870397
1756958400,238.4500,239.7800,239.8999,236.7400,47549429
1756872000,237.2100,238.4700,238.8500,234.3600,66061716
1756785600,229.2500,229.7200,230.8500,226.9700,44075638
1756440000,232.5100,232.1400,233.3800,231.3700,39418437
1756353600,230.8200,232.5600,233.4100,229.3350,38074700
1756267200,228.6100,230.4900,230.9000,228.2600,31259513
1756180800,226.8700,229.3100,229.4900,224.6900,54575107
1756094400,226.4800,227.1600,229.3000,226.2300,30983133
1755835200,226.1700,227.7600,229.0900,225.4100,42477811
1755748800,226.2700,224.9000,226.5200,223.7804,30621249
1755662400,229.9800,226.0100,230.4700,225.7700,42263865
1755576000,231.2750,230.5600,232.8700,229.3500,39402564
1755489600,231.7000,230.8900,233.1200,230.1100,37476188
1755230400,234.0000,231.5900,234.2800,229.3350,56038657
1755144000,234.0550,232.7800,235.1200,230.8500,51916275
1755057600,231.0700,233.3300,235.0000,230.4300,69878546
1754971200,228.0050,229.6500,230.8000,227.0700,55672301
1754884800,227.9200,227.1800,229.5600,224.7600,61806132
1754625600,220.8300,229.3500,231.0000,219.2500,113853967
1754539200,218.8750,220.0300,220.8500,216.5800,90224834
1754452800,205.6300,213.2500,215.3800,205.5900,108483103
1754366400,203.4000,202.9200,205.3400,202.1600,44155079
1754280000,204.5050,203.3500,207.8800,201.6750,75109298
1754020800,210.8650,202.3800,213.5800,201.5000,104434473
1753934400,208.4900,207.5700,209.8400,207.1600,80698431
1753848000,211.8950,209.0500,212.3900,207.7200,45512514
1753761600,214.1750,211.2700,214.8100,210.8200,51411723
1753675200,214.0300,214.0500,214.8450,213.0600,37858017
1753416000,214.7000,213.8800,215.2400,213.4000,40268781
1753329600,213.9000,213.7600,215.6900,213.5300,46022620
1753243200,215.0000,214.1500,215.1500,212.4100,46989301
1753156800,213.1400,214.4000,214.9500,212.2301,46404072
1753070400,212.1000,212.4800,215.7800,211.6300,51377434
1752811200,210.8700,211.1800,211.7900,209.7045,48974591
1752724800,210.5700,210.0200,211.8000,209.5900,48068141
1752638400,210.2950,210.1600,212.4000,208.6400,47490532
1752552000,209.2200,209.1100,211.8900,208.9200,42296339
1752465600,209.9250,208.6200,210.9100,207.5400,38840111
1752206400,210.5650,211.1600,212.1300,209.8600,39765812
1752120000,210.5050,212.4100,213.4800,210.0300,44443635
1752033600,209.5300,211.1400,211.3300,207.2200,48749367
1751947200,210.1000,210.0100,211.4300,208.4500,42848928
1751860800,212.6800,209.9500,216.2300,208.8000,50228984
1751515200,212.1450,213.5500,214.6500,211.8101,34955836
1751428800,208.9100,212.4400,213.3400,208.1400,67941811
1751342400,206.6650,207.8200,210.1865,206.1401,78788867
1751256000,202.0100,205.1700,207.3900,199.2607,91912816
1750996800,201.8900,201.0800,203.2200,200.0000,73188571
1750910400,201.4300,201.0000,202.6400,199.4600,50799121
1750824000,201.4500,201.5600,203.6700,200.6201,39525730
1750737600,202.5900,200.3000,203.4400,200.2000,54064033
1750651200,201.6250,201.5000,202.3000,198.9600,55814272
1750392000,198.2350,201.0000,201.7000,196.8550,96813542
1750219200,195.9400,196.5800,197.5700,195.0700,45394689
1750132800,197.2000,195.6400,198.3900,195.2100,38856152
1750046400,197.3000,198.4200,198.6850,196.5636,43020691
1749787200,199.7300,196.4500,200.3700,195.7000,51447349
1749700800,199.0800,199.2000,199.6800,197.3601,43904635
1749614400,203.5000,198.7800,204.5000,198.4100,60989857
1749528000,200.6000,202.6700,204.3500,200.5700,54672608
1749441600,204.3900,201.4500,206.0000,200.0200,72862557
1749182400,203.0000,203.9200,205.7000,202.0500,46607693
1749096000,203.5000,200.6300,204.7500,200.1500,55221235
1749009600,202.9100,202.8200,206.2400,202.1000,43603985
1748923200,201.3500,203.2700,203.7700,200.9550,46381567
1748836800,200.2800,201.7000,202.1300,200.1200,35423294
1748577600,199.3700,200.8500,201.9600,196.7800,70819942
1748491200,203.5750,199.9500,203.8100,198.5100,51477938
1748404800,200.5900,200.4200,202.7300,199.9000,45339678
1748318400,198.3000,200.2100,200.7400,197.4300,56288475
1747972800,193.6650,195.2700,197.7000,193.4600,78432918
1747886400,200.7100,201.3600,202.7500,199.7000,46742407
1747800000,205.1700,202.0900,207.0400,200.7100,59211774
1747713600,207.6700,206.8600,208.4700,205.0300,42496635
1747627200,207.9100,208.7800,209.4800,204.2600,46140527
1747368000,212.3600,211.2600,212.5700,209.7700,54737850
1747281600,210.9500,211.4500,212.9600,209.5400,45029473
1747195200,212.4300,212.3300,213.9400,210.5801,49325825
1747108800,210.4300,212.9300,213.4000,209.0000,51909332
1747022400,210.9700,210.7900,211.2679,206.7500,63775814
1746763200,199.0000,198.5300,200.5399,197.5350,36453923
1746676800,197.7200,197.4900,200.0500,194.6796,50478872
1746590400,199.1700,196.2500,199.4400,193.2500,68616943
1746504000,198.2100,198.5100,200.6500,197.0200,51216482
1746417600,203.1000,198.8900,204.1000,198.2100,69018452
1746158400,206.0900,205.3500,206.9900,202.1600,101010621
1746072000,209.0800,213.3200,214.5600,208.9000,57365675
1745985600,209.3000,212.5000,213.5800,206.6705,52286454
1745899200,208.6930,211.2100,212.2400,208.3700,36827633
1745812800,210.0000,210.1400,211.5000,207.4600,38743074
1745553600,206.3650,209.2800,209.7500,206.2000,38222258
1745467200,204.8900,208.3700,208.8299,202.9400,47310989
1745380800,206.0000,204.6000,208.0000,202.7990,52929165
1745294400,196.1200,199.7400,201.5900,195.9700,52976371
1745208000,193.2650,193.1600,193.8000,189.8112,46742537
1744862400,197.2000,196.9800,198.8335,194.4200,52164675
1744776000,198.3600,194.2700,200.7000,192.3700,59732423
1744689600,201.8550,202.1400,203.5100,199.8000,51343872
1744603200,211.4400,202.5200,212.9400,201.1621,101352911
1744344000,186.1000,198.1500,199.5400,186.0600,87435915
1744257600,189.0650,190.4200,194.7799,183.0000,121879981
1744171200,171.9500,198.8500,200.6100,171.8900,184395885
1744084800,186.7000,172.4200,190.3350,169.2101,120859491
1743998400,177.2000,181.4600,194.1500,174.6200,160466286
1743739200,193.8900,188.3800,199.8800,187.3400,125910913
1743652800,205.5400,203.1900,207.4900,201.2500,103419006
